 INFO [2020-08-08 08:57:03,650] ({main} ZeppelinConfiguration.java[create]:165) - Load configuration from file:/home/bigdata/data/zeppelin/conf/zeppelin-site.xml
 INFO [2020-08-08 08:57:03,776] ({main} ZeppelinConfiguration.java[create]:173) - Server Host: 0.0.0.0
 INFO [2020-08-08 08:57:03,776] ({main} ZeppelinConfiguration.java[create]:175) - Server Port: 48080
 INFO [2020-08-08 08:57:03,776] ({main} ZeppelinConfiguration.java[create]:179) - Context Path: /
 INFO [2020-08-08 08:57:03,776] ({main} ZeppelinConfiguration.java[create]:180) - Zeppelin Version: 0.9.0-preview2
 INFO [2020-08-08 08:57:03,807] ({main} Log.java[initialized]:169) - Logging initialized @919ms to org.eclipse.jetty.util.log.Slf4jLog
 WARN [2020-08-08 08:57:04,210] ({main} ZeppelinConfiguration.java[getConfigFSDir]:661) - zeppelin.config.fs.dir is not specified, fall back to local conf directory zeppelin.conf.dir
 WARN [2020-08-08 08:57:04,211] ({main} ZeppelinConfiguration.java[getConfigFSDir]:661) - zeppelin.config.fs.dir is not specified, fall back to local conf directory zeppelin.conf.dir
 WARN [2020-08-08 08:57:04,211] ({main} ZeppelinConfiguration.java[getConfigFSDir]:661) - zeppelin.config.fs.dir is not specified, fall back to local conf directory zeppelin.conf.dir
 WARN [2020-08-08 08:57:04,265] ({main} LocalConfigStorage.java[loadCredentials]:88) - Credential file /home/bigdata/data/zeppelin/conf/credentials.json is not existed
 INFO [2020-08-08 08:57:04,333] ({ImmediateThread-1596848224204} PluginManager.java[loadNotebookRepo]:78) - Loading NotebookRepo Plugin: org.apache.zeppelin.notebook.repo.GitNotebookRepo
 INFO [2020-08-08 08:57:04,505] ({ImmediateThread-1596848224204} VFSNotebookRepo.java[setNotebookDirectory]:70) - Using notebookDir: /home/bigdata/data/zeppelin/noteDir
 INFO [2020-08-08 08:57:04,549] ({main} ZeppelinServer.java[setupWebAppContext]:547) - warPath is: /home/bigdata/app/zeppelin-release/zeppelin-web-0.9.0-preview2.war
 INFO [2020-08-08 08:57:04,549] ({main} ZeppelinServer.java[setupWebAppContext]:560) - ZeppelinServer Webapp path: /home/bigdata/app/zeppelin-release/webapps
 INFO [2020-08-08 08:57:04,608] ({main} ZeppelinServer.java[setupWebAppContext]:547) - warPath is: /home/bigdata/app/zeppelin-release/zeppelin-web-angular-0.9.0-preview2.war
 INFO [2020-08-08 08:57:04,608] ({main} ZeppelinServer.java[setupWebAppContext]:560) - ZeppelinServer Webapp path: /home/bigdata/app/zeppelin-release/webapps/next
 INFO [2020-08-08 08:57:04,656] ({ImmediateThread-1596848224204} VFSNotebookRepo.java[setNotebookDirectory]:88) - Notebook dir doesn't exist: /home/bigdata/data/zeppelin/noteDir, creating it.
 INFO [2020-08-08 08:57:04,656] ({ImmediateThread-1596848224204} GitNotebookRepo.java[init]:77) - Opening a git repo at '/home/bigdata/data/zeppelin/noteDir'
 INFO [2020-08-08 08:57:04,721] ({main} NotebookServer.java[<init>]:152) - NotebookServer instantiated: org.apache.zeppelin.socket.NotebookServer@7582ff54
 INFO [2020-08-08 08:57:04,723] ({main} NotebookServer.java[setNotebook]:163) - Injected NotebookProvider
 INFO [2020-08-08 08:57:04,723] ({main} NotebookServer.java[setAuthorizationServiceProvider]:177) - Injected NotebookAuthorizationServiceProvider
 INFO [2020-08-08 08:57:04,723] ({main} NotebookServer.java[setConnectionManagerProvider]:183) - Injected ConnectionManagerProvider
 INFO [2020-08-08 08:57:04,723] ({main} NotebookServer.java[setServiceLocator]:157) - Injected ServiceLocator: ServiceLocatorImpl(shared-locator,0,409962262)
 INFO [2020-08-08 08:57:04,723] ({main} NotebookServer.java[setNotebookService]:170) - Injected NotebookServiceProvider
 INFO [2020-08-08 08:57:04,724] ({main} ZeppelinServer.java[setupClusterManagerServer]:447) - Cluster mode is disabled
 INFO [2020-08-08 08:57:05,212] ({ImmediateThread-1596848224204} GitNotebookRepo.java[init]:81) - Git repo /home/bigdata/data/zeppelin/noteDir/.git does not exist, creating a new one
 INFO [2020-08-08 08:57:05,555] ({Thread-3} RemoteInterpreterEventServer.java[run]:105) - InterpreterEventServer is starting at 192.168.51.154:34134
 INFO [2020-08-08 08:57:06,045] ({main} RemoteInterpreterEventServer.java[start]:129) - RemoteInterpreterEventServer is started
 INFO [2020-08-08 08:57:06,048] ({main} InterpreterSettingManager.java[<init>]:190) - Using RecoveryStorage: org.apache.zeppelin.interpreter.recovery.NullRecoveryStorage
 INFO [2020-08-08 08:57:06,050] ({main} InterpreterSettingManager.java[<init>]:196) - Using LifecycleManager: org.apache.zeppelin.interpreter.lifecycle.NullLifecycleManager
 INFO [2020-08-08 08:57:06,161] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: neo4j
 INFO [2020-08-08 08:57:06,169] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: geode
 INFO [2020-08-08 08:57:06,177] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: pig
 INFO [2020-08-08 08:57:06,182] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: scalding
 INFO [2020-08-08 08:57:06,192] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: sap
 INFO [2020-08-08 08:57:06,197] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: sparql
 INFO [2020-08-08 08:57:06,202] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: alluxio
 INFO [2020-08-08 08:57:06,207] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: file
 INFO [2020-08-08 08:57:06,212] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: python
 INFO [2020-08-08 08:57:06,217] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: flink
 INFO [2020-08-08 08:57:06,221] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: ignite
 INFO [2020-08-08 08:57:06,225] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: hazelcastjet
 INFO [2020-08-08 08:57:06,229] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: kylin
 INFO [2020-08-08 08:57:06,232] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: r
 INFO [2020-08-08 08:57:06,235] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: angular
 INFO [2020-08-08 08:57:06,238] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: java
 INFO [2020-08-08 08:57:06,241] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: bigquery
 INFO [2020-08-08 08:57:06,244] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: kotlin
 INFO [2020-08-08 08:57:06,250] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: submarine
 INFO [2020-08-08 08:57:06,254] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: mongodb
 INFO [2020-08-08 08:57:06,258] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: jdbc
 INFO [2020-08-08 08:57:06,267] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: influxdb
 INFO [2020-08-08 08:57:06,275] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: sh
 WARN [2020-08-08 08:57:06,325] ({main} InterpreterSettingManager.java[loadInterpreterSettingFromDefaultDir]:406) - No interpreter-setting.json found in /home/bigdata/app/zeppelin-release/interpreter/scio
 INFO [2020-08-08 08:57:06,328] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: lens
 INFO [2020-08-08 08:57:06,334] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: ksql
 INFO [2020-08-08 08:57:06,339] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: livy
 INFO [2020-08-08 08:57:06,352] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: cassandra
 INFO [2020-08-08 08:57:06,358] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: md
 INFO [2020-08-08 08:57:06,362] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: hbase
 INFO [2020-08-08 08:57:06,365] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: beam
 INFO [2020-08-08 08:57:06,376] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: groovy
 INFO [2020-08-08 08:57:06,380] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: jupyter
 INFO [2020-08-08 08:57:06,384] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: elasticsearch
 INFO [2020-08-08 08:57:06,387] ({main} InterpreterSettingManager.java[registerInterpreterSetting]:509) - Register InterpreterSettingTemplate: spark
 INFO [2020-08-08 08:57:06,388] ({main} LocalConfigStorage.java[loadInterpreterSettings]:63) - Load Interpreter Setting from file: /home/bigdata/data/zeppelin/conf/interpreter.json
 INFO [2020-08-08 08:57:06,502] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting ignite from interpreter.json
 INFO [2020-08-08 08:57:06,502] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting beam from interpreter.json
 INFO [2020-08-08 08:57:06,502] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting geode from interpreter.json
 INFO [2020-08-08 08:57:06,502] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting jdbc from interpreter.json
 INFO [2020-08-08 08:57:06,503] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting influxdb from interpreter.json
 INFO [2020-08-08 08:57:06,503] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting lens from interpreter.json
 INFO [2020-08-08 08:57:06,503] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting pig from interpreter.json
 INFO [2020-08-08 08:57:06,503] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting file from interpreter.json
 INFO [2020-08-08 08:57:06,503] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting java from interpreter.json
 INFO [2020-08-08 08:57:06,503] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting jupyter from interpreter.json
 INFO [2020-08-08 08:57:06,504] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting submarine from interpreter.json
 INFO [2020-08-08 08:57:06,504] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting elasticsearch from interpreter.json
 INFO [2020-08-08 08:57:06,504] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting sh from interpreter.json
 INFO [2020-08-08 08:57:06,505] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting spark from interpreter.json
 INFO [2020-08-08 08:57:06,505] ({main} InterpreterSettingManager.java[loadFromFile]:295) - Create Interpreter Setting md from interpreter.json
